State,APMC's,Commodity,Min Price,Modal Price,Max Price,Date
WEST BENGAL,DHUPGURI PRINCIPAL MARKET YARD,PUMPKIN,"1,400","1,400","1,400",10-09-2025
WEST BENGAL,GANGARAMPUR,PUMPKIN,"1,500","1,500","1,500",10-09-2025
ANDHRA PRADESH,PALAMANER,BRINJAL,"2,000","2,000","2,000",10-09-2025
ANDHRA PRADESH,PALAMANER,GREEN CHILLI,"3,000","4,500","4,500",10-09-2025
ANDHRA PRADESH,PALAMANER,RIDGE GOURD (TURAI),"2,000","2,500","3,000",10-09-2025
CHHATTISGARH,BHATAPARA,MASOOR,"5,851","5,851","5,851",10-09-2025
GUJARAT,RAPAR,CASTOR SEED,"6,225","6,290","6,290",10-09-2025
HARYANA,BARWALA HISAR,GUAVA,"2,000","2,500","2,500",10-09-2025
HARYANA,CH DADRI,APPLE,"7,000","7,000","8,000",10-09-2025
HARYANA,CH DADRI,SWEET LEMON (MOSAMBI),"3,000","3,200","3,200",10-09-2025
HARYANA,PUNDRI,RIDGE GOURD (TURAI),"2,000","2,000","2,500",10-09-2025
HARYANA,PUNDRI,CUCUMBER,"1,500","1,500","1,800",10-09-2025
HARYANA,SADHAURA APMC,TOMATO,"2,000","2,000","2,000",10-09-2025
HARYANA,SIRSA,BOTTLE GOURD,"2,000","2,000","2,200",10-09-2025
JAMMU AND KASHMIR,UDHAMPUR,BRINJAL,"2,800","2,800","2,800",10-09-2025
MADHYA PRADESH,BERASIA,CHANA (BENGAL GRAM)-DESI,"3,350","4,805","5,450",10-09-2025
MAHARASHTRA,BARAMATI,SILK COCOON(BH) _DOUBLE HYBR,"55,000","66,500","69,000",10-09-2025
ODISHA,KHARIAR ROAD,RAW BANANA,"1,300","1,300","1,300",10-09-2025
ODISHA,RAIRAKHOL,BHINDI (LADIES FINGER),"2,700","2,700","2,700",10-09-2025
RAJASTHAN,AJMER F AND V,BITTER GOURD,"1,800","1,804","1,814",10-09-2025
RAJASTHAN,AJMER F AND V,BRINJAL,"1,350","1,362","1,400",10-09-2025
RAJASTHAN,BIKANER F AND V,BEANS -CLUSTER,"5,980","6,000","6,000",10-09-2025
RAJASTHAN,BIKANER F AND V,PUMPKIN,"1,190","1,200","1,200",10-09-2025
RAJASTHAN,DOONI,BARLEY (JAU),"2,125","2,250","2,250",10-09-2025
RAJASTHAN,JODHPUR F AND V,PUMPKIN,900,900,900,10-09-2025
RAJASTHAN,KEKRI,BARLEY (JAU),"2,011","2,011","2,251",10-09-2025
RAJASTHAN,MALPURA,MOONG WHOLE (GREEN GRAM),"5,500","5,500","5,500",10-09-2025
RAJASTHAN,RAJSAMAND,CABBAGE,"2,300","2,300","2,400",10-09-2025
TAMIL NADU,CHINNASALEM,MAIZE,"2,060","2,060","2,260",10-09-2025
TAMIL NADU,KURUNJIPADY,MAIZE,"2,172","2,172","2,172",10-09-2025
TAMIL NADU,POLUR,PADDY ADT-37(TN),"1,787","1,787","1,787",10-09-2025
TAMIL NADU,VILLUPURAM,MAIZE,"2,269","2,279","2,279",10-09-2025
TAMIL NADU,VIRUDHACHALAM,FOX TAIL MILLET,"2,389","2,809","2,809",10-09-2025
TELANGANA,ZAHEERABAD,MAIZE,"2,205","2,218","2,326",10-09-2025
UTTAR PRADESH,HAPUR,BRINJAL,"1,300","1,300","1,300",10-09-2025
UTTAR PRADESH,RAE BARELI,BRINJAL,800,800,800,10-09-2025
UTTAR PRADESH,SANDILA APMC,BOTTLE GOURDE,"1,150","1,200","1,200",10-09-2025
UTTARAKHAND,RAMNAGAR,RADDISH,"1,500","1,500","1,500",10-09-2025
ANDHRA PRADESH,PALAMANER,POTATO,"2,000","2,000","2,000",10-09-2025
