State,APMC's,Commodity,Min Price,Modal Price,Max Price,Date
HARYANA,BARWALA HISAR,SWEET LEMON (MOSAMBI),"4,000","4,000","4,000",10-09-2025
HARYANA,BARWALA PANCHKULA APMC,BRINJAL,"2,500","2,500","3,000",10-09-2025
HARYANA,BARWALA PANCHKULA APMC,GREEN CHILLI,"3,000","3,000","3,000",10-09-2025
HARYANA,BARWALA PANCHKULA APMC,PUMPKIN,"1,500","1,500","1,500",10-09-2025
HARYANA,DABWALI,BANANA,"1,600","2,000","2,000",10-09-2025
HARYANA,DABWALI,MOUSAMBI,"2,500","4,000","4,255",10-09-2025
HARYANA,ELLANABAD,TINDA,"2,000","2,000","4,000",10-09-2025
HARYANA,ELLANABAD,GUAVA,"2,500","4,500","4,500",10-09-2025
HARYANA,FEROZPUR JHIRKA APMC,LADY FINGER,"2,000","2,000","2,200",10-09-2025
HARYANA,GURGAON,CARROT,"1,358","1,358","1,358",10-09-2025
HARYANA,HANSI,LEMON,"3,000","3,000","5,000",10-09-2025
HARYANA,KANINA APMC,WHEAT,"2,520","2,520","2,520",10-09-2025
HARYANA,PUNDRI,LADY FINGER,"2,200","2,500","2,500",10-09-2025
HARYANA,PUNDRI,APPLE,"5,100","5,200","5,500",10-09-2025
HARYANA,PUNDRI,CAULIFLOWER,"1,500","2,500","3,500",10-09-2025
HARYANA,SIRSA,SPONGE GOURD,"2,700","2,800","2,800",10-09-2025
HARYANA,SIRSA,BRINJAL,"2,200","2,200","2,200",10-09-2025
HARYANA,THANESAR,GINGER,"4,000","4,500","5,000",10-09-2025
HIMACHAL PRADESH,DHARAMSHALA,TOMATO,"3,000","3,000","3,000",10-09-2025
HIMACHAL PRADESH,DHARAMSHALA,ONION,"2,500","2,500","2,500",10-09-2025
HIMACHAL PRADESH,PALAMPUR,CABBAGE,"3,000","3,000","3,000",10-09-2025
HIMACHAL PRADESH,UNA,TOMATO,"4,000","4,000","4,000",10-09-2025
JAMMU AND KASHMIR,KATHUA,PEAR,"6,000","6,000","6,000",10-09-2025
JAMMU AND KASHMIR,UDHAMPUR,BOTTLE GOURD,"3,200","3,200","3,200",10-09-2025
JAMMU AND KASHMIR,UDHAMPUR,BITTER GOURD,"3,300","3,300","3,300",10-09-2025
MAHARASHTRA,BEED,SOYA WHITE,"4,170","4,170","4,170",10-09-2025
NAGALAND,LONGLENG,BANANA,"4,500","4,500","4,500",10-09-2025
ODISHA,BALUGAON,LOBIA LOCAL,"2,650","2,650","2,650",10-09-2025
ODISHA,DEOGARH,TOMATO,"4,500","4,500","4,500",10-09-2025
ODISHA,JUNAGARH,LADY FINGER,"2,500","2,500","2,500",10-09-2025
ODISHA,KHARIAR ROAD,BITTER GOURD,"2,500","2,500","2,500",10-09-2025
ODISHA,RAIRAKHOL,ONION,"2,000","2,000","2,000",10-09-2025
PUDUCHERRY,THATTANCHAVADY,HORSEGRAM,"3,700","3,700","3,800",10-09-2025
RAJASTHAN,AJMER F AND V,RIDGE GOURD (TURAI),"2,600","2,606","2,614",10-09-2025
RAJASTHAN,ALWAR,BARLEY (JAU),"2,050","2,050","2,050",10-09-2025
RAJASTHAN,BIJAY NAGAR,LEMON,"1,500","1,500","1,500",10-09-2025
RAJASTHAN,BIKANER F AND V,BRINJAL,"1,900","1,900","1,950",10-09-2025
RAJASTHAN,BIKANER F AND V,CORIANDER LEAVES,"3,460","3,500","3,500",10-09-2025
RAJASTHAN,CHOMU F AND V,GINGER,"5,015","5,015","6,515",10-09-2025
RAJASTHAN,KISHANGARH RENWAL,MOONG WHOLE (GREEN GRAM),"6,500","6,500","6,500",10-09-2025
RAJASTHAN,MALPURA,BARLEY (JAU),"2,146","2,170","2,170",10-09-2025
RAJASTHAN,RANIWARA,CASTOR SEED,"6,200","6,200","6,200",10-09-2025
TAMIL NADU,CONNOOR,RADDISH,300,300,300,10-09-2025
TAMIL NADU,VIRUDHACHALAM,COPRA_80 KG(TN),"20,499","21,137","22,374",10-09-2025
TELANGANA,TIRUMALGIRI,GROUND NUT,"5,600","6,100","6,800",10-09-2025
UTTAR PRADESH,CHANDPUR,TOMATO,"2,050","2,050","2,050",10-09-2025
UTTAR PRADESH,HATHRAS,BOTTLE GOURD,820,950,"1,020",10-09-2025
UTTAR PRADESH,JAUNPUR APMC,PUMPKIN,"1,440","1,440","1,440",10-09-2025
UTTAR PRADESH,PALIA KALAN,GREEN CHILLI,"3,000","3,000","3,001",10-09-2025
UTTAR PRADESH,POWAYAN,BANANA,700,700,700,10-09-2025
UTTAR PRADESH,SHAGANJ,LOBIA,"2,880","2,880","2,880",10-09-2025
UTTARAKHAND,RAMNAGAR,CAULIFLOWER,"2,500","2,500","2,500",10-09-2025
UTTARAKHAND,ROORKEE,CAPSICUM,"1,500","1,500","1,500",10-09-2025
UTTARAKHAND,ROORKEE,BEANS -CLUSTER,"1,200","1,200","1,200",10-09-2025
UTTARAKHAND,RUDRAPUR,LADY FINGER,"1,400","1,400","1,400",10-09-2025
WEST BENGAL,BISHNUPUR,BRINJAL-HYBRID,"4,000","4,000","4,000",10-09-2025
WEST BENGAL,BISHNUPUR,PUMPKIN,"2,500","2,500","2,500",10-09-2025
WEST BENGAL,GANGARAMPUR,BITTER GOURD,"3,815","3,815","3,815",10-09-2025
WEST BENGAL,KALNA SUB MARKET YARD,CUCUMBER,"3,000","3,000","3,000",10-09-2025
GUJARAT,BILIMORA,BOTTLE GOURDE,"2,750","3,000","3,250",10-09-2025
HARYANA,BARWALA HISAR,RIDGE GOURD (TURAI),"5,500","5,500","6,000",10-09-2025
HARYANA,BARWALA HISAR,LADY FINGER,"5,000","5,000","5,500",10-09-2025
HARYANA,BARWALA PANCHKULA APMC,BOTTLE GOURD,"2,500","3,000","3,000",10-09-2025
HARYANA,CH DADRI,CAULIFLOWER,"5,000","5,000","5,000",10-09-2025
HARYANA,CHHACHHRAULI,BOTTLE GOURD,"1,700","2,000","3,000",10-09-2025
HARYANA,CHHACHHRAULI,RIDGE GOURD (TURAI),"1,400","2,000","2,000",10-09-2025
HARYANA,DABWALI,PUMPKIN,"1,500","1,500","4,000",10-09-2025
HARYANA,DABWALI,CUCUMBER,"1,200","2,500","2,500",10-09-2025
HARYANA,DABWALI,LADY FINGER,"1,900","4,500","4,500",10-09-2025
HARYANA,ELLANABAD,PUMPKIN,"1,000","1,000","1,200",10-09-2025
HARYANA,GURGAON,RADDISH,"1,955","1,955","1,955",10-09-2025
HARYANA,GURGAON,MOUSAMBI,"4,500","4,500","4,500",10-09-2025
HARYANA,GURGAON,PUMPKIN,"1,255","1,255","1,255",10-09-2025
HARYANA,HANSI,GARLIC,"6,000","6,000","8,000",10-09-2025
HARYANA,HANSI,RIDGE GOURD (TURAI),"3,800","4,000","4,000",10-09-2025
HARYANA,NARAINGARH APMC,CAULIFLOWER,"2,500","2,500","4,000",10-09-2025
HARYANA,PUNDRI,SWEET LEMON (MOSAMBI),"3,200","3,500","3,500",10-09-2025
HARYANA,SHAHZADPUR APMC,TOMATO,"1,000","2,000","2,600",10-09-2025
HARYANA,SIRSA,MAIZE,"2,600","2,600","2,700",10-09-2025
HARYANA,SIRSA,BITTER GOURD,"2,600","2,600","2,600",10-09-2025
HARYANA,SOHNA,CHILLI-DESI,"3,000","3,000","4,500",10-09-2025
HIMACHAL PRADESH,BANDROL,POMEGRANATE,"3,400","3,400","3,800",10-09-2025
HIMACHAL PRADESH,HAMIRPUR,BOTTLE GOURD,"4,800","4,800","5,250",10-09-2025
HIMACHAL PRADESH,HAMIRPUR,LADY FINGER,"4,500","5,550","5,550",10-09-2025
HIMACHAL PRADESH,HAMIRPUR,BRINJAL,"4,000","5,250","5,250",10-09-2025
HIMACHAL PRADESH,SANTOSHGARH,SQUASH,"1,600","1,700","1,700",10-09-2025
HIMACHAL PRADESH,UNA,BOTTLE GOURD,"3,000","5,000","5,000",10-09-2025
JAMMU AND KASHMIR,KATHUA,MOUSAMBI,"5,000","5,000","5,000",10-09-2025
JAMMU AND KASHMIR,PHALAYANA,APPLE-RED GOLDEN SMALL,"6,500","6,500","6,500",10-09-2025
MADHYA PRADESH,BINA,URAD (BLACK GRAM),"3,700","4,250","4,250",10-09-2025
MADHYA PRADESH,GADARWARA,SOYABEANS,"4,203","4,261","4,363",10-09-2025
MAHARASHTRA,JALGAON,CHANA,"5,305","5,305","5,305",10-09-2025
MAHARASHTRA,VANI,MOONG WHOLE (GREEN GRAM),"5,500","5,500","5,500",10-09-2025
MAHARASHTRA,VANI,CHANA (BENGAL GRAM),"4,970","4,970","4,970",10-09-2025
ODISHA,DEOGARH,PAPAYA,"1,450","1,450","1,450",10-09-2025
ODISHA,DEOGARH,BRINJAL,"4,400","4,400","4,400",10-09-2025
ODISHA,DEOGARH,POINTED GOURD (PARWAL),"5,500","5,500","5,500",10-09-2025
ODISHA,JAGATSINGHPUR,BRINJAL,"4,800","4,800","4,800",10-09-2025
ODISHA,JUNAGARH,BRINJAL-HYBRID,"1,600","1,600","1,600",10-09-2025
ODISHA,JUNAGARH,POINTED GOURD (PARWAL),"2,200","2,200","2,200",10-09-2025
RAJASTHAN,AABU ROAD,PAPAYA,"2,400","2,400","2,400",10-09-2025
RAJASTHAN,BARMER,APPLE,"14,045","14,045","14,045",10-09-2025
RAJASTHAN,BHINMAL,RIDGE GOURD (TURAI),"1,500","1,500","1,500",10-09-2025
RAJASTHAN,BIKANER F AND V,ARBI (COLACASIA),"1,490","1,500","1,500",10-09-2025
RAJASTHAN,CHOTTISADRI,CHANA GRAM,"5,521","5,521","5,521",10-09-2025
RAJASTHAN,GAJSINGHPUR,CHANA,"5,296","5,561","5,561",10-09-2025
RAJASTHAN,JAITSAR,MUSTARD,"6,485","6,485","6,485",10-09-2025
RAJASTHAN,NIWAI,GROUND NUT,"4,400","4,400","4,500",10-09-2025
RAJASTHAN,RAJSAMAND,CORIANDER LEAVES,"2,300","2,300","2,400",10-09-2025
RAJASTHAN,RAWLA,GUAR SEEDS,"4,465","4,645","4,645",10-09-2025
RAJASTHAN,SIKAR,CORIANDER,"7,000","7,000","7,500",10-09-2025
RAJASTHAN,UDAIPUR F AND V,CARROT,"2,000","2,000","2,000",10-09-2025
TELANGANA,DEVARAKADRA,CASTOR SEED,"5,859","5,859","5,859",10-09-2025
TELANGANA,VIKARABAD,TURMERIC FINGER,"6,566","9,402","9,402",10-09-2025
UTTAR PRADESH,JAUNPUR APMC,BRINJAL,"1,790","1,790","1,790",10-09-2025
UTTAR PRADESH,POWAYAN,CAULIFLOWER,"1,300","1,300","1,300",10-09-2025
UTTAR PRADESH,PRATAPGARH,BOTTLE GOURD,"1,600","1,600","1,600",10-09-2025
UTTAR PRADESH,SADABAD APMC,BOTTLE GOURD,"1,952","1,953","1,953",10-09-2025
UTTAR PRADESH,SADABAD APMC,BRINJAL-HYBRID,"1,952","1,953","1,953",10-09-2025
UTTAR PRADESH,SADABAD APMC,PUMPKIN,"1,202","1,202","1,203",10-09-2025
UTTAR PRADESH,SANDILA APMC,PUMPKIN,"1,000","1,000","1,000",10-09-2025
UTTARAKHAND,KASHIPUR,CABBAGE,"1,300","1,300","1,300",10-09-2025
UTTARAKHAND,KHATIMA,PUMPKIN,850,850,850,10-09-2025
UTTARAKHAND,KHATIMA,BOTTLE GOURD,"1,500","1,500","1,500",10-09-2025
UTTARAKHAND,RAMNAGAR,BOTTLE GOURD,"1,300","1,300","1,600",10-09-2025
UTTARAKHAND,RUDRAPUR,BRINJAL,"1,700","1,700","1,700",10-09-2025
UTTARAKHAND,RUDRAPUR,TOMATO,"1,600","1,800","1,800",10-09-2025
UTTARAKHAND,SITARGANJ,BRINJAL,"1,000","1,200","1,200",10-09-2025
WEST BENGAL,BISHNUPUR,CUCUMBER,"2,000","2,000","2,000",10-09-2025
WEST BENGAL,DHUPGURI PRINCIPAL MARKET YARD,RADDISH,"1,700","1,700","1,700",10-09-2025
WEST BENGAL,DHUPGURI PRINCIPAL MARKET YARD,BRINJAL,"1,400","1,400","1,400",10-09-2025
WEST BENGAL,DHUPGURI PRINCIPAL MARKET YARD,LADY FINGER,"2,500","2,500","2,500",10-09-2025
WEST BENGAL,DHUPGURI PRINCIPAL MARKET YARD,RIDGE GOURD (TURAI),"1,800","1,800","1,800",10-09-2025
WEST BENGAL,GANGARAMPUR,RIDGE GOURD (TURAI),"3,420","3,420","3,420",10-09-2025
WEST BENGAL,KALNA SUB MARKET YARD,GREEN CHILLI,"8,000","8,000","8,000",10-09-2025
WEST BENGAL,SAMSHERGANJ KRISHAK BAZAR,BRINJAL,"3,500","3,500","3,500",10-09-2025
CHHATTISGARH,RAJNANDGAON,PADDY-HMT,"2,197","2,197","2,197",10-09-2025
GUJARAT,BILIMORA,BHINDI (LADIES FINGER),"3,000","3,500","3,500",10-09-2025
GUJARAT,DEVGADHBARIA APMC,PADDY LOCAL,"1,525","1,525","1,550",10-09-2025
GUJARAT,DHARI,WHEAT,"2,710","2,775","2,775",10-09-2025
GUJARAT,MORBI,CUMMIN,"17,700","17,700","17,900",10-09-2025
GUJARAT,NAVSARI APMC,CUCUMBER,"2,300","2,300","2,300",10-09-2025
GUJARAT,NAVSARI APMC,BITTER GOURD,"3,300","3,300","3,300",10-09-2025
HARYANA,BARWALA PANCHKULA APMC,LADY FINGER,"3,000","3,000","3,000",10-09-2025
HARYANA,CH DADRI,ARBI (COLACASIA),"3,000","3,000","3,000",10-09-2025
HARYANA,DABWALI,BEANS -CLUSTER,"3,000","5,000","5,000",10-09-2025
HARYANA,ELLANABAD,BITTER GOURD,"2,500","2,500","4,100",10-09-2025
HARYANA,ELLANABAD,CAULIFLOWER,"3,000","3,000","5,100",10-09-2025
HARYANA,FEROZPUR JHIRKA APMC,BITTER GOURD,"2,000","2,000","2,000",10-09-2025
HARYANA,FEROZPUR JHIRKA APMC,CAULIFLOWER,"4,000","4,000","4,000",10-09-2025
HARYANA,GURGAON,SPINACH (PALAK),"1,358","1,358","1,358",10-09-2025
HARYANA,NARAINGARH APMC,CUCUMBER,"1,500","1,500","3,000",10-09-2025
HARYANA,NARAINGARH APMC,BOTTLE GOURDE,"1,200","2,500","2,500",10-09-2025
HARYANA,NARAINGARH APMC,RIDGE GOURD (TURAI),"1,000","1,000","4,000",10-09-2025
HARYANA,PANIPAT,PINE APPLE,"2,100","2,150","2,150",10-09-2025
HARYANA,PUNDRI,GUAVA,"1,000","1,000","1,100",10-09-2025
HARYANA,SADHAURA APMC,APPLE,"2,700","2,700","6,000",10-09-2025
HARYANA,SADHAURA APMC,CHILLI BADIGA,"3,000","3,000","3,000",10-09-2025
HARYANA,SADHAURA APMC,BOTTLE GOURD,"2,000","2,500","2,500",10-09-2025
HARYANA,SIRSA,GRAPES,"11,000","11,000","12,500",10-09-2025
HARYANA,SOHNA,BOTTLE GOURD,"2,000","2,000","2,800",10-09-2025
HARYANA,SOHNA,RADDISH,"2,200","2,200","3,000",10-09-2025
HIMACHAL PRADESH,KANGRA,POMEGRANATE,"7,500","7,500","7,500",10-09-2025
HIMACHAL PRADESH,MANDI,BRINJAL,"3,000","3,000","3,000",10-09-2025
HIMACHAL PRADESH,PALAMPUR,BHINDI (LADIES FINGER),"5,000","5,000","5,000",10-09-2025
HIMACHAL PRADESH,PALAMPUR,CAULIFLOWER,"6,000","6,000","6,000",10-09-2025
JAMMU AND KASHMIR,BUMHAMA,WALNUT_KERNEL,"60,000","60,000","60,000",10-09-2025
JAMMU AND KASHMIR,KATHUA,POMEGRANATE,"9,000","9,000","9,000",10-09-2025
JAMMU AND KASHMIR,NARWAL,PEAR,"7,000","7,000","7,000",10-09-2025
JAMMU AND KASHMIR,PHALAYANA,LADY FINGER,"5,500","5,500","5,500",10-09-2025
MAHARASHTRA,MANORA,SESAME SEED,"9,400","9,400","9,400",10-09-2025
MAHARASHTRA,MANORA,GROUND NUT,"5,191","5,191","5,191",10-09-2025
MAHARASHTRA,WARDHA,WHEAT,"2,590","2,590","2,590",10-09-2025
ODISHA,BALUGAON,COLOCASIA VEGETABLE,"2,300","2,450","2,450",10-09-2025
ODISHA,DEOGARH,CARROT,"5,500","5,500","5,500",10-09-2025
ODISHA,DEOGARH,CUCUMBER,"3,800","3,800","3,800",10-09-2025
ODISHA,DEOGARH,PUMPKIN,"2,300","2,300","2,300",10-09-2025
ODISHA,DEOGARH,BANANA,"1,550","1,550","1,550",10-09-2025
ODISHA,DEOGARH,CABBAGE,"4,500","4,500","4,500",10-09-2025
ODISHA,DEOGARH,CAULIFLOWER,"4,500","4,500","4,500",10-09-2025
ODISHA,JAGATSINGHPUR,RIDGE GOURD (TURAI),"3,200","3,200","3,200",10-09-2025
ODISHA,KHARIAR ROAD,POINTED GOURD (PARWAL),"2,500","2,500","2,500",10-09-2025
ODISHA,RAIRAKHOL,BEANS -CLUSTER,"3,000","3,000","3,000",10-09-2025
ODISHA,RAIRAKHOL,LOBIA PODS,"2,800","2,800","2,800",10-09-2025
ODISHA,RAIRAKHOL,RIDGE GOURD (TURAI),"1,700","1,700","1,700",10-09-2025
PUDUCHERRY,THATTANCHAVADY,PADDY- NLR(TN),"1,812","1,812","1,812",10-09-2025
PUDUCHERRY,THATTANCHAVADY,PADDY CO 51(TN),"1,895","1,895","1,895",10-09-2025
RAJASTHAN,AABU ROAD,SPRING ONION,"2,400","2,400","2,400",10-09-2025
RAJASTHAN,BANDIKUI,TARAMIRA,"5,300","5,300","5,300",10-09-2025
RAJASTHAN,BARMER,PINE APPLE,"4,040","4,040","4,040",10-09-2025
RAJASTHAN,BARMER,BITTER GOURD,"3,430","3,430","3,430",10-09-2025
RAJASTHAN,BHAWANI MANDI,LINSEED,"6,800","6,800","6,800",10-09-2025
RAJASTHAN,BHINMAL,CAULIFLOWER,700,700,700,10-09-2025
RAJASTHAN,BIKANER F AND V,PEAR,"2,000","2,000","2,000",10-09-2025
RAJASTHAN,BIKANER F AND V,KIWI FRUIT,"2,900","3,000","3,000",10-09-2025
RAJASTHAN,BIKANER F AND V,WATER MELON,"2,180","2,200","2,200",10-09-2025
RAJASTHAN,BIKANER F AND V,SPRING ONION,950,960,"1,000",10-09-2025
RAJASTHAN,CHOTTISADRI,BARLEY (JAU),"2,440","2,440","2,440",10-09-2025
RAJASTHAN,GOLUWALA,CHANA,"5,499","5,674","5,674",10-09-2025
RAJASTHAN,HANUMANGARH TOWN,MOONG WHOLE (GREEN GRAM),"4,551","4,551","4,551",10-09-2025
RAJASTHAN,JALORE,BITTER GOURD,"1,500","1,700","2,800",10-09-2025
RAJASTHAN,JALORE,BEANS -CLUSTER,"7,000","7,000","7,000",10-09-2025
RAJASTHAN,JALORE,CUCUMBER,"2,000","2,800","2,800",10-09-2025
RAJASTHAN,JHUNJHUNU,BENGAL GRAM LOCAL,"5,800","5,800","5,800",10-09-2025
RAJASTHAN,KOTPUTLI,WHEAT,"2,600","2,600","2,600",10-09-2025
RAJASTHAN,NAWALGARH,BARLEY (JAU),"2,200","2,200","2,200",10-09-2025
RAJASTHAN,NOKHA,CUMMIN,"18,500","18,500","18,500",10-09-2025
RAJASTHAN,PILIBANGA,MOONG WHOLE (GREEN GRAM),"4,300","4,300","4,300",10-09-2025
RAJASTHAN,RAJSAMAND,BRINJAL,"1,700","1,700","1,800",10-09-2025
RAJASTHAN,SIKAR,LEMON,"3,700","3,800","3,800",10-09-2025
RAJASTHAN,SIKAR,PAPAYA,"2,000","2,000","2,000",10-09-2025
RAJASTHAN,UDAIPUR F AND V,JACK FRUIT,"2,000","2,000","2,000",10-09-2025
TAMIL NADU,ANNUR,COPRA,"15,000","24,140","24,916",10-09-2025
TAMIL NADU,AVALURPET,RAGI-LOCAL,"3,429","3,529","3,529",10-09-2025
TAMIL NADU,GINGEE,CUMBU-HYBRID,"2,700","2,700","2,700",10-09-2025
TAMIL NADU,THIRUKOVILUR,RAGI,"3,398","3,398","3,398",10-09-2025
TAMIL NADU,THIRUMANGALAM,BAJRA,"3,600","3,600","3,600",10-09-2025
TAMIL NADU,VANIYAMBADI,HORSEGRAM,"3,550","3,550","3,550",10-09-2025
TELANGANA,HYDERABAD,CHILLI-SUPER10,"12,000","14,800","15,000",10-09-2025
TELANGANA,VIKARABAD,TURMERIC BULB,"7,009","9,111","9,111",10-09-2025
TELANGANA,WARANGAL,MAIZE LOCAL,"2,212","2,212","2,212",10-09-2025
TELANGANA,ZAHEERABAD,JOWAR-WHITE,"2,067","2,067","2,111",10-09-2025
UTTAR PRADESH,BALRAMPUR APMC,CUCUMBER,"1,500","1,500","1,500",10-09-2025
UTTAR PRADESH,BARABANKI,BRINJAL,"1,790","1,790","1,790",10-09-2025
UTTAR PRADESH,GOLAGOKARNATH,BRINJAL,800,800,800,10-09-2025
UTTAR PRADESH,HAPUR,BOTTLE GOURD,900,900,900,10-09-2025
UTTAR PRADESH,HASANPUR APMC,GARLIC,"5,000","5,000","5,000",10-09-2025
UTTAR PRADESH,JAUNPUR APMC,GREEN CHILLI,"4,060","4,060","4,060",10-09-2025
UTTAR PRADESH,JAUNPUR APMC,SPONGE GOURD,"1,910","1,910","1,910",10-09-2025
UTTAR PRADESH,KHALILABAD,LADY FINGER,"1,500","1,500","1,500",10-09-2025
UTTAR PRADESH,KHALILABAD,RADDISH,"2,000","2,000","2,000",10-09-2025
UTTAR PRADESH,POWAYAN,ARBI (COLACASIA),"1,500","1,500","1,500",10-09-2025
UTTAR PRADESH,RASRA APMC,RADDISH,"1,500","1,500","1,500",10-09-2025
UTTAR PRADESH,RASRA APMC,BHINDI (LADIES FINGER),"1,600","1,600","1,600",10-09-2025
UTTAR PRADESH,RASRA APMC,PUMPKIN,"1,500","1,500","1,500",10-09-2025
UTTAR PRADESH,SHAGANJ,CHILLI-273 A/C,"4,075","4,075","4,075",10-09-2025
UTTAR PRADESH,SHAGANJ,SPONGE GOURD,"1,910","1,910","1,910",10-09-2025
UTTARAKHAND,KASHIPUR,GINGER,"4,300","4,300","4,300",10-09-2025
UTTARAKHAND,KASHIPUR,ARBI (COLACASIA),"2,200","2,200","2,200",10-09-2025
UTTARAKHAND,KASHIPUR,LEMON,"4,300","4,300","4,300",10-09-2025
UTTARAKHAND,KASHIPUR,POTATO,"1,200","1,200","1,200",10-09-2025
UTTARAKHAND,KASHIPUR,BRINJAL,"1,500","1,500","1,500",10-09-2025
UTTARAKHAND,KICHHA,CUCUMBER,"1,100","1,100","1,100",10-09-2025
UTTARAKHAND,KICHHA,PUMPKIN,"1,065","1,065","1,065",10-09-2025
UTTARAKHAND,KOTDWAR,BOTTLE GOURD,720,720,720,10-09-2025
UTTARAKHAND,RUDRAPUR,BOTTLE GOURD,"1,300","1,300","1,400",10-09-2025
UTTARAKHAND,RUDRAPUR,PUMPKIN,"1,500","1,500","1,650",10-09-2025
UTTARAKHAND,SITARGANJ,BOTTLE GOURD,"1,000","1,000","1,000",10-09-2025
WEST BENGAL,BISHNUPUR,RIDGE GOURD (TURAI),"3,500","3,500","3,500",10-09-2025
WEST BENGAL,GANGARAMPUR,LADY FINGER,"3,820","3,820","3,820",10-09-2025
WEST BENGAL,GANGARAMPUR,BRINJAL,"3,525","3,525","3,525",10-09-2025
WEST BENGAL,GANGARAMPUR,CUCUMBER,"3,815","3,815","3,815",10-09-2025
WEST BENGAL,SHEORAPHULI,ONION,"2,250","2,250","2,250",10-09-2025
CHHATTISGARH,BALOD,PADDY 1001,"1,941","1,941","1,941",10-09-2025
HARYANA,BARWALA HISAR,AMERICAN-COTTON,"6,200","6,200","6,200",10-09-2025
HARYANA,BARWALA PANCHKULA APMC,RIDGE GOURD (TURAI),"2,000","2,500","2,500",10-09-2025
HARYANA,CH DADRI,GINGER,"5,000","5,000","5,000",10-09-2025
HARYANA,CH DADRI,POMEGRANATE,"9,000","12,000","12,000",10-09-2025
HARYANA,CH DADRI,LADY FINGER,"4,000","4,000","4,000",10-09-2025
HARYANA,CHHACHHRAULI,PUMPKIN,"1,200","1,200","1,200",10-09-2025
HARYANA,CHHACHHRAULI,LADY FINGER,"2,000","2,800","2,800",10-09-2025
HARYANA,CHHACHHRAULI,POTATO,"1,100","1,100","1,200",10-09-2025
HARYANA,DABWALI,GREEN CHILLI,"2,000","2,400","4,000",10-09-2025
HARYANA,DABWALI,RADDISH,"2,000","2,000","2,200",10-09-2025
HARYANA,ELLANABAD,CHANA GRAM,"5,295","5,295","5,295",10-09-2025
HARYANA,ELLANABAD,LADY FINGER,"2,500","4,000","5,000",10-09-2025
HARYANA,FEROZPUR JHIRKA APMC,CUCUMBER,"1,800","1,800","2,000",10-09-2025
HARYANA,HANSI,POMEGRANATE,"10,000","10,000","14,000",10-09-2025
HARYANA,HANSI,GINGER,"6,000","7,000","7,000",10-09-2025
HARYANA,HANSI,PINE APPLE,"3,000","3,300","3,500",10-09-2025
HARYANA,NARAINGARH APMC,GINGER,"3,500","5,000","5,000",10-09-2025
HARYANA,NARAINGARH APMC,BRINJAL,"1,500","3,000","3,000",10-09-2025
HARYANA,NARAINGARH APMC,GUAVA,"1,500","1,500","4,000",10-09-2025
HARYANA,NARAINGARH APMC,CABBAGE,"1,000","2,000","2,000",10-09-2025
HARYANA,NARAINGARH APMC,COLOCASIA VEGETABLE,"1,500","1,500","2,500",10-09-2025
HARYANA,PANIPAT,LEMON,"1,000","1,000","1,000",10-09-2025
HARYANA,SADHAURA APMC,RIDGE GOURD (TURAI),"1,000","1,000","1,200",10-09-2025
HARYANA,SOHNA,BITTER GOURD,"2,500","3,000","3,000",10-09-2025
HARYANA,THANESAR,BEANS -CLUSTER,"6,000","6,000","6,000",10-09-2025
HIMACHAL PRADESH,BAIJNATH,POTATO,"2,700","2,800","2,800",10-09-2025
HIMACHAL PRADESH,BANDROL,TOMATO,"2,200","2,300","2,300",10-09-2025
HIMACHAL PRADESH,DHARAMSHALA,PUMPKIN,"2,200","2,200","2,200",10-09-2025
HIMACHAL PRADESH,HAMIRPUR,CHHAPPAN KADDU,"3,550","3,550","3,550",10-09-2025
HIMACHAL PRADESH,KANGRA,APPLE,"3,500","3,500","3,500",10-09-2025
HIMACHAL PRADESH,KANGRA,CAPSICUM,"7,500","7,500","7,500",10-09-2025
HIMACHAL PRADESH,MANDI,LADY FINGER,"4,000","4,000","4,000",10-09-2025
HIMACHAL PRADESH,UNA,CUCUMBER,"3,000","3,000","3,000",10-09-2025
JAMMU AND KASHMIR,KATHUA,APPLE-ROYAL DEL MEDIUM,"9,000","9,000","9,000",10-09-2025
JAMMU AND KASHMIR,PHALAYANA,PEAR,"4,500","4,500","4,500",10-09-2025
JAMMU AND KASHMIR,UDHAMPUR,CHILLI-DESI,"4,200","4,200","4,200",10-09-2025
MADHYA PRADESH,NEEMUCH,GUAR SEEDS,"2,000","3,500","3,500",10-09-2025
MADHYA PRADESH,VIDISHA,MUSTARD,"5,800","6,697","6,697",10-09-2025
MAHARASHTRA,UMARGA,URAD (BLACK GRAM),"3,000","3,000","4,810",10-09-2025
ODISHA,DEOGARH,SWEET CORN,"3,500","3,500","3,500",10-09-2025
ODISHA,DEOGARH,BITTER GOURD,"3,800","3,800","3,800",10-09-2025
ODISHA,DEOGARH,BOTTLE GOURD,"1,800","1,800","1,800",10-09-2025
ODISHA,JAGATSINGHPUR,POINTED GOURD (PARWAL),"5,000","5,000","5,000",10-09-2025
ODISHA,JAGATSINGHPUR,SNAKE GOURD,"3,300","3,500","3,500",10-09-2025
ODISHA,JAGATSINGHPUR,BEANS -CLUSTER,"5,500","5,500","5,500",10-09-2025
ODISHA,JAGATSINGHPUR,LOBIA PODS,"5,500","5,500","5,500",10-09-2025
ODISHA,RAIRAKHOL,GREEN CHILLI,"4,200","4,200","4,200",10-09-2025
RAJASTHAN,AABU ROAD,LADY FINGER,"2,000","2,000","2,000",10-09-2025
